Key: ,,,,,,,,,,,,,,,,
Original Field Name,Key Name,,,,,,,,,,,,,,,
ChannelName,A,,,,,,,,,,,,,,,
ProductCategory,B,,,,,,,,,,,,,,,
TicketCategory,C,,,,,,,,,,,,,,,
TicketSubCategory,D,,,,,,,,,,,,,,,
AgentTenure,E,,,,,,,,,,,,,,,
AgentShift,F,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Field,Attribute,Sample Size,CSAT_1,CSAT_2,CSAT_3,CSAT_4,CSAT_5,Avg CSAT,SDEV CSAT,RTM_<2,RTM_2to5,RTM_6to30,RTM_31to100,RTM_>100,Avg RTM,SDEV RTM
D,Policy Related,2,0,0,1,0,1,4.00,1.41,0,0,1,0,1,1746.5,2448.7
D,Priority delivery,972,77,13,24,136,722,4.45,1.15,240,314,155,70,104,95.9,403.2
D,Product Specific Information,3588,561,90,170,573,2194,4.04,1.47,355,1098,935,368,529,129.6,482.6
D,Product related Issues,183,13,3,5,23,139,4.49,1.12,27,48,42,19,33,132.9,446.5
D,Refund Enquiry,2665,314,38,67,370,1876,4.30,1.33,558,801,605,197,350,94.6,377.2
D,Refund Related Issues,1799,287,24,51,229,1208,4.14,1.47,329,544,391,148,255,144.1,508.4
D,Return cancellation,292,22,10,6,33,221,4.44,1.18,10,74,110,27,42,152.1,528.1
D,Return request,8523,400,67,157,1181,6718,4.61,0.94,694,3390,2143,703,1007,100.2,396.9
D,Reverse Pickup Enquiry,22388,3189,361,699,2906,15233,4.19,1.42,3564,7184,4864,1906,3348,140.1,496.0
D,Self-Help,49,5,3,2,6,33,4.20,1.37,8,18,7,3,12,317.3,853.3
D,Seller Cancelled Order,1058,304,17,44,140,553,3.59,1.75,86,330,314,110,134,110.2,392.2
D,Seller onboarding,62,7,1,2,5,47,4.35,1.33,14,16,11,8,5,135.6,526.9
D,Service Center - Service Denial,58,21,2,0,13,22,3.22,1.80,2,15,19,6,15,395.4,967.0
D,Service Centres Related,1875,314,26,48,223,1264,4.12,1.50,294,543,407,167,322,155.5,500.0
D,Signup Issues,489,29,1,5,43,411,4.65,0.99,72,138,138,45,59,131.7,527.2
D,UnProfessional Behaviour,2294,351,35,76,269,1563,4.16,1.46,404,646,528,222,311,131.0,510.0
D,Unable to Login,7,4,0,1,0,2,2.43,1.90,1,1,2,2,0,27.0,33.6
D,Unable to track,164,21,3,7,13,120,4.27,1.39,33,39,23,14,26,186.4,664.8
D,Wallet related,230,29,2,4,24,171,4.33,1.35,32,79,58,18,21,58.0,203.3
D,Warranty related,78,19,1,4,8,46,3.78,1.70,13,18,23,5,12,249.7,846.7
D,Wrong,2597,191,24,43,290,2049,4.53,1.10,369,873,596,188,364,117.2,402.8
D,e-Gift Voucher,42,6,3,3,7,23,3.90,1.49,13,15,6,1,4,45.5,147.8
E,ALL,84986,11050,1275,2536,11100,59025,4.24,1.38,13255,26775,19526,7254,11872,121.8,446.3
E,0-30,11221,1396,174,343,1489,7819,4.26,1.36,1678,3851,2558,871,1450,103.6,403.7
E,31-60,11546,1366,170,333,1454,8223,4.30,1.33,1851,3949,2677,882,1386,98.3,385.6
E,61-90,6664,719,84,187,822,4852,4.35,1.29,1099,2194,1550,516,754,103.1,415.5
E,>90,30284,3806,409,828,3802,21439,4.28,1.36,4749,9401,6866,2698,4473,125.7,448.0
E,On Job Training,25271,3763,438,845,3533,16692,4.15,1.44,3878,7380,5875,2287,3809,140.9,492.9
F,ALL,84986,11050,1275,2536,11100,59025,4.24,1.38,13255,26775,19526,7254,11872,121.8,446.3
F,Afternoon,5784,689,98,149,731,4117,4.29,1.34,936,1708,1336,501,832,122.5,435.6
F,Evening,33341,4070,480,984,4338,23469,4.28,1.35,5316,10730,7656,2665,4101,116.0,443.8
F,Morning,40966,5811,626,1277,5466,27786,4.19,1.42,6192,12902,9415,3619,6225,126.2,452.2
F,Night,1298,161,25,34,126,952,4.30,1.37,209,372,310,117,196,136.4,481.2
F,Split,3597,319,46,92,439,2701,4.43,1.20,602,1063,809,352,518,116.8,400.6
